"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2003";"2004";"2005";"2006";"2007";"2008" 
"06370310 Den afrikanske Udviklingsfond (AfDF) "; 190,0; 175,0; 100,0; 100,0; 100,0; 100,0
"06370311 Den asiatiske Udviklingsfond (AsDF) "; 46,7; 47,0; 45,7; 50,0; 50,0; 50,0
"06370313 Den nordiske Udviklingsfond (NDF) "; 96,3; 100,0; 59,6; 61,0; 61,0; 61,0
"063704 Bistand gennem Den europæiske Union (EU) "; 349,9; 350,0; 422,5; 462,0; 462,0; 462,0
"06370410 Den europæiske Udviklingsfond (EUF) "; 349,9; 350,0; 422,5; 462,0; 462,0; 462,0
"0638 Multilateral bistand til øvrige indsatser "; 321,5; 309,0; 317,9; 306,0; 288,5; 311,5
"063801 regional og genopbygningsbistand "; 162,3; 170,0; 112,2; 125,0; 90,0; 90,0
"06380110 Multilateral regionalbistand "; 92,5; 105,0; 62,2; 85,0; 50,0; 50,0
"06380111 Multilateral genopbygningsbistand "; 69,8; 65,0; 50,0; 40,0; 40,0; 40,0
"063802 Indsatser vedr. stabilitet og sikkerhed "; 43,5; 40,0; 80,3; 80,0; 90,0; 105,0
"06380211 Konfliktforebyggelse "; 0,0; 35,0; 75,3; 75,0; 85,0; 100,0
"06380212 Narkotika og Kriminalitet "; 43,5; 5,0; 5,0; 5,0; 5,0; 5,0
"063803 Diverse multilaterale bidrag "; 115,7; 99,0; 125,4; 101,0; 108,5; 116,5
"06380310 Diverse multilaterale bidrag "; 23,6; 13,0; 28,6; 13,0; 15,5; 18,5
"06380320 Støtte til Internationale Menneskerettigheder"; 65,4; 38,0; 43,8; 35,0; 40,0; 45,0
"06380325 Støtte t. multilaterale aktivi. handel og udv"; 24,9; 45,0; 50,0; 50,0; 50,0; 50,0
"06380330 Multilaterale kurser,seminarer og konferencer"; 1,7; 3,0; 3,0; 3,0; 3,0; 3,0
"0639 Humanitær bistand "; 812,3; 846,0; 1085,8; 906,0; 911,0; 997,0
"063901 Humanitære organisationer "; 240,8; 242,0; 256,8; 262,0; 262,0; 272,0
"06390110 FN's Flygtningehøjkommissær (UNHCR) "; 125,0; 125,0; 125,0; 130,0; 130,0; 130,0
"06390111 FN's org. for Palæstinaflygtninge (UNRWA) "; 49,5; 50,0; 59,8; 60,0; 60,0; 70,0
"06390112 FN's Humanitære Koordinationskontor (OCHA) "; 10,0; 10,0; 10,0; 10,0; 10,0; 10,0
"06390113 Humanitær fødevarebistand (WFP) "; 29,3; 30,0; 35,0; 35,0; 35,0; 35,0
"06390114 Den internationale Røde Kors Komite (ICRC) "; 12,0; 12,0; 12,0; 12,0; 12,0; 12,0
"06390115 FNs Højkommissær for Menneskerettigheder "; 15,0; 15,0; 15,0; 15,0; 15,0; 15,0
"063902 Ekstraordinære humanitære bidrag "; 571,5; 604,0; 829,0; 644,0; 649,0; 725,0
"06390210 Ekstraordinære humanitære bidrag "; 488,9; 429,0; 694,0; 509,0; 519,0; 545,0
"06390211 Internationalt Humanitært Beredskab (IHB) "; 55,3; 100,0; 55,0; 55,0; 55,0; 55,0
"06390212 Bistand til flyg og internt fordrevne i nærom"; 27,3; 75,0; 80,0; 80,0; 75,0; 125,0
"064 Danmarks Eksportråd "; 422,2; 114,1; 109,2; 87,4; 87,4; 87,4
"0641 Fællesudgifter "; 422,2; 114,1; 109,2; 87,4; 87,4; 87,4
"064101 Danmarks Eksportråd "; 323,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06410110 Almindelig virksomhed "; 323,0; 0,0; 0,0; 0,0; 0,0; 0,0
"064102 Eksportstipendiater "; 55,2; 59,6; 57,2; 57,1; 57,1; 57,1
"06410210 Eksportstipendiater "; 55,2; 59,6; 57,2; 57,1; 57,1; 57,1
"064103 Særlige eksportfremmetilskud "; 44,0; 54,5; 52,0; 30,3; 30,3; 30,3
"06410310 Indsats for små og mellemstore virksomheder "; 11,1; 15,8; 15,8; 0,0; 0,0; 0,0
"06410320 Eksportfremmetilskud "; 28,7; 33,6; 31,1; 30,3; 30,3; 30,3
"06410330 Særlig eksportfremme, Denmark.dk "; 4,2; 5,1; 5,1; 0,0; 0,0; 0,0
"07 Finansministeriet "; 9921,5; 9526,8; 12503,2; 9907,7; 9927,5; 9909,9
"071 Offentlig økonomi "; 6353,9; 5905,2; 8819,1; 6220,0; 6239,8; 6272,2
"0711 Centralstyrelsen "; 218,7; 267,1; 315,5; 304,7; 294,5; 299,4
"071101 Departementet "; 185,8; 178,6; 211,6; 177,4; 172,1; 168,8
"07110110 Almindelig virksomhed "; 185,8; 178,6; 188,0; 177,4; 172,1; 168,8
"07110120 Finansministeriets Administrative Fællesskab "; 0,0; 0,0; 23,6; 0,0; 0,0; 0,0
